"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 14:51:20 GMT 2022","Thu Aug 11 14:51:41 GMT 2022","20785","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openClassmatesLinkTest","Открытие страницы одноклассников по нажатию на иконку",""
"passed","Thu Aug 11 14:51:56 GMT 2022","Thu Aug 11 14:52:14 GMT 2022","17751","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openTelegramLinkTest","Открытие страницы телеграмма по нажатию на иконку",""
"passed","Thu Aug 11 14:52:14 GMT 2022","Thu Aug 11 14:52:31 GMT 2022","17264","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openVKLinkTest","Открытие страницы ВК по нажатию на иконку",""
"passed","Thu Aug 11 14:55:44 GMT 2022","Thu Aug 11 14:55:59 GMT 2022","15110","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintConsentToTheProcessingOfPersonalDataTest","Наличие подсказки на обязательное поле: согласие на обработку ПД",""
"passed","Thu Aug 11 14:54:30 GMT 2022","Thu Aug 11 14:54:43 GMT 2022","12772","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","informationAboutTheAmountOfTheLoanTest","Появление информации о сумме кредита",""
"passed","Thu Aug 11 14:54:17 GMT 2022","Thu Aug 11 14:54:30 GMT 2022","13359","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","downloadingAFileWithInformationAboutTheRequiredDocumentTest","Скачивание файла с информацией о необходимых документах",""
"passed","Thu Aug 11 14:50:58 GMT 2022","Thu Aug 11 14:51:20 GMT 2022","21412","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkThePossibilityToSendAnApplicationWithoutEmailTest","Проверка возможности отправить заявку без e-mail",""
"failed","Thu Aug 11 14:56:26 GMT 2022","Thu Aug 11 14:57:06 GMT 2022","40451","","Проверка работы Ипотечного калькулятора","","tests.MortgageCalculatorTest","newBuildingCalculatorTest","Проверка расчета ЕП в новостройке",""
"passed","Thu Aug 11 14:51:41 GMT 2022","Thu Aug 11 14:51:56 GMT 2022","15484","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","checkingTheOperationOfTheDropdownListTest","Проверка работы выпадающего списка",""
"passed","Thu Aug 11 14:52:31 GMT 2022","Thu Aug 11 14:52:43 GMT 2022","12220","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","downloadInformationAboutRateTest","Скачивание информации о тарифе",""
